genome1,genome2,pair_id,S16_Vsearch_status,FastANI_status,Mash_status,FastAAI_Jaccard_status
GCA_000006945.2,GCA_003201315.1,GCA_000006945.2__GCA_003201315.1,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_006365335.1,GCA_000006945.2__GCA_006365335.1,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_008692755.1,GCA_000006945.2__GCA_008692755.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000006945.2,GCA_008692775.1,GCA_000006945.2__GCA_008692775.1,PASS,FAIL_THRESHOLD,PASS,PASS
GCA_000006945.2,GCA_008692785.1,GCA_000006945.2__GCA_008692785.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000006945.2,GCA_008692845.1,GCA_000006945.2__GCA_008692845.1,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000006945.2,GCA_010191885.1,GCA_000006945.2__GCA_010191885.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000006945.2,GCA_010649825.1,GCA_000006945.2__GCA_010649825.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000006945.2,GCA_010726345.1,GCA_000006945.2__GCA_010726345.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000006945.2,GCA_014334155.1,GCA_000006945.2__GCA_014334155.1,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_015565735.1,GCA_000006945.2__GCA_015565735.1,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_016028495.1,GCA_000006945.2__GCA_016028495.1,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_016029065.1,GCA_000006945.2__GCA_016029065.1,PASS,FAIL_THRESHOLD,PASS,PASS
GCA_000006945.2,GCA_016029385.1,GCA_000006945.2__GCA_016029385.1,FAIL_INITIAL,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000006945.2,GCA_016030095.1,GCA_000006945.2__GCA_016030095.1,FAIL_INITIAL,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000006945.2,GCA_016117835.1,GCA_000006945.2__GCA_016117835.1,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_018033035.1,GCA_000006945.2__GCA_018033035.1,FAIL_INITIAL,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000006945.2,GCA_022869965.1,GCA_000006945.2__GCA_022869965.1,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_039544975.1,GCA_000006945.2__GCA_039544975.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000006945.2,GCA_040365735.1,GCA_000006945.2__GCA_040365735.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000006945.2,GCA_041080895.1,GCA_000006945.2__GCA_041080895.1,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_047688675.1,GCA_000006945.2__GCA_047688675.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000006945.2,GCA_900456225.1,GCA_000006945.2__GCA_900456225.1,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000006945.2,GCA_900456375.1,GCA_000006945.2__GCA_900456375.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000006945.2,GCA_900456445.1,GCA_000006945.2__GCA_900456445.1,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_900456705.1,GCA_000006945.2__GCA_900456705.1,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_900456745.1,GCA_000006945.2__GCA_900456745.1,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_900456755.1,GCA_000006945.2__GCA_900456755.1,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_900456865.1,GCA_000006945.2__GCA_900456865.1,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000006945.2,GCA_900635535.1,GCA_000006945.2__GCA_900635535.1,PASS,FAIL_THRESHOLD,PASS,FAIL_THRESHOLD
GCA_000006945.2,GCA_900706745.1,GCA_000006945.2__GCA_900706745.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000006945.2,GCA_965138065.1,GCA_000006945.2__GCA_965138065.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000007025.1,GCA_000221205.1,GCA_000007025.1__GCA_000221205.1,PASS,PASS,PASS,FAIL_THRESHOLD
GCA_000007025.1,GCA_000261325.1,GCA_000007025.1__GCA_000261325.1,PASS,PASS,PASS,PASS
GCA_000007025.1,GCA_000263815.1,GCA_000007025.1__GCA_000263815.1,PASS,PASS,PASS,PASS
GCA_000007025.1,GCA_000940955.1,GCA_000007025.1__GCA_000940955.1,PASS,PASS,PASS,FAIL_THRESHOLD
GCA_000007085.1,GCA_000156275.2,GCA_000007085.1__GCA_000156275.2,PASS,PASS,PASS,PASS
GCA_000007085.1,GCA_000473865.1,GCA_000007085.1__GCA_000473865.1,FAIL_THRESHOLD,PASS,PASS,PASS
GCA_000007085.1,GCA_004345675.1,GCA_000007085.1__GCA_004345675.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000007085.1,GCA_024807135.1,GCA_000007085.1__GCA_024807135.1,PASS,PASS,PASS,PASS
GCA_000007085.1,GCA_040088595.1,GCA_000007085.1__GCA_040088595.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000007125.1,GCA_000160295.1,GCA_000007125.1__GCA_000160295.1,PASS,PASS,PASS,PASS
GCA_000007125.1,GCA_000250795.2,GCA_000007125.1__GCA_000250795.2,PASS,PASS,PASS,PASS
GCA_000007125.1,GCA_000740415.1,GCA_000007125.1__GCA_000740415.1,PASS,PASS,PASS,PASS
GCA_000007145.1,GCA_012848175.1,GCA_000007145.1__GCA_012848175.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000007145.1,GCA_019201075.1,GCA_000007145.1__GCA_019201075.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000007145.1,GCA_020731405.1,GCA_000007145.1__GCA_020731405.1,PASS,PASS,PASS,PASS
GCA_000007145.1,GCA_020784175.1,GCA_000007145.1__GCA_020784175.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000007145.1,GCA_020813135.1,GCA_000007145.1__GCA_020813135.1,PASS,PASS,PASS,PASS
GCA_000007305.1,GCA_008245085.1,GCA_000007305.1__GCA_008245085.1,PASS,PASS,PASS,PASS
GCA_000007505.1,GCA_000223195.1,GCA_000007505.1__GCA_000223195.1,PASS,PASS,PASS,PASS
GCA_000007505.1,GCA_000701065.1,GCA_000007505.1__GCA_000701065.1,PASS,PASS,PASS,PASS
GCA_000007505.1,GCA_000742005.1,GCA_000007505.1__GCA_000742005.1,PASS,PASS,PASS,PASS
GCA_000007505.1,GCA_900460605.1,GCA_000007505.1__GCA_900460605.1,PASS,PASS,PASS,PASS
GCA_000007545.1,GCA_000614485.1,GCA_000007545.1__GCA_000614485.1,PASS,PASS,PASS,PASS
GCA_000007545.1,GCA_000743055.1,GCA_000007545.1__GCA_000743055.1,PASS,PASS,PASS,PASS
GCA_000007545.1,GCA_001558355.2,GCA_000007545.1__GCA_001558355.2,PASS,PASS,PASS,PASS
GCA_000007545.1,GCA_002289225.1,GCA_000007545.1__GCA_002289225.1,PASS,PASS,PASS,PASS
GCA_000007545.1,GCA_003201315.1,GCA_000007545.1__GCA_003201315.1,PASS,PASS,PASS,PASS
GCA_000007545.1,GCA_006365335.1,GCA_000007545.1__GCA_006365335.1,PASS,PASS,PASS,PASS
GCA_000007545.1,GCA_008692755.1,GCA_000007545.1__GCA_008692755.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000007545.1,GCA_008692775.1,GCA_000007545.1__GCA_008692775.1,PASS,FAIL_THRESHOLD,PASS,PASS
GCA_000007545.1,GCA_008692785.1,GCA_000007545.1__GCA_008692785.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000007545.1,GCA_008692845.1,GCA_000007545.1__GCA_008692845.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000007545.1,GCA_010191885.1,GCA_000007545.1__GCA_010191885.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000007545.1,GCA_010649825.1,GCA_000007545.1__GCA_010649825.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000007545.1,GCA_010726345.1,GCA_000007545.1__GCA_010726345.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000007545.1,GCA_014334155.1,GCA_000007545.1__GCA_014334155.1,PASS,PASS,PASS,PASS
GCA_000007545.1,GCA_015565735.1,GCA_000007545.1__GCA_015565735.1,PASS,PASS,PASS,PASS
GCA_000007545.1,GCA_016028495.1,GCA_000007545.1__GCA_016028495.1,PASS,PASS,PASS,PASS
GCA_000007545.1,GCA_016029065.1,GCA_000007545.1__GCA_016029065.1,PASS,FAIL_THRESHOLD,PASS,PASS
GCA_000007545.1,GCA_016029385.1,GCA_000007545.1__GCA_016029385.1,FAIL_INITIAL,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000007545.1,GCA_016030095.1,GCA_000007545.1__GCA_016030095.1,FAIL_INITIAL,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000007545.1,GCA_016117835.1,GCA_000007545.1__GCA_016117835.1,PASS,PASS,PASS,PASS
GCA_000007545.1,GCA_018033035.1,GCA_000007545.1__GCA_018033035.1,FAIL_INITIAL,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000007545.1,GCA_022869965.1,GCA_000007545.1__GCA_022869965.1,PASS,PASS,PASS,PASS
GCA_000007545.1,GCA_039544975.1,GCA_000007545.1__GCA_039544975.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000007545.1,GCA_040365735.1,GCA_000007545.1__GCA_040365735.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000007545.1,GCA_041080895.1,GCA_000007545.1__GCA_041080895.1,PASS,PASS,PASS,PASS
GCA_000007545.1,GCA_047688675.1,GCA_000007545.1__GCA_047688675.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000007545.1,GCA_900456225.1,GCA_000007545.1__GCA_900456225.1,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000007545.1,GCA_900456375.1,GCA_000007545.1__GCA_900456375.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000007545.1,GCA_900456445.1,GCA_000007545.1__GCA_900456445.1,PASS,PASS,PASS,FAIL_THRESHOLD
GCA_000007545.1,GCA_900456705.1,GCA_000007545.1__GCA_900456705.1,PASS,PASS,PASS,PASS
GCA_000007545.1,GCA_900456745.1,GCA_000007545.1__GCA_900456745.1,PASS,PASS,PASS,PASS
GCA_000007545.1,GCA_900456755.1,GCA_000007545.1__GCA_900456755.1,PASS,PASS,PASS,PASS
GCA_000007545.1,GCA_900456865.1,GCA_000007545.1__GCA_900456865.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000007545.1,GCA_900635535.1,GCA_000007545.1__GCA_900635535.1,PASS,FAIL_THRESHOLD,PASS,PASS
GCA_000007545.1,GCA_900706745.1,GCA_000007545.1__GCA_900706745.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000007545.1,GCA_965138065.1,GCA_000007545.1__GCA_965138065.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000007705.1,GCA_001953795.1,GCA_000007705.1__GCA_001953795.1,PASS,PASS,PASS,PASS
GCA_000007705.1,GCA_042430085.1,GCA_000007705.1__GCA_042430085.1,PASS,PASS,PASS,PASS
GCA_000007705.1,GCA_900446775.1,GCA_000007705.1__GCA_900446775.1,PASS,PASS,PASS,PASS
GCA_000007705.1,GCA_900446805.1,GCA_000007705.1__GCA_900446805.1,PASS,PASS,PASS,PASS
GCA_000007805.1,GCA_000935725.1,GCA_000007805.1__GCA_000935725.1,PASS,PASS,PASS,PASS
GCA_000007805.1,GCA_000935765.1,GCA_000007805.1__GCA_000935765.1,PASS,FAIL_THRESHOLD,PASS,PASS
GCA_000007805.1,GCA_001400185.1,GCA_000007805.1__GCA_001400185.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000007805.1,GCA_001400335.1,GCA_000007805.1__GCA_001400335.1,PASS,FAIL_THRESHOLD,PASS,PASS
GCA_000007805.1,GCA_001400595.1,GCA_000007805.1__GCA_001400595.1,PASS,PASS,PASS,PASS
GCA_000007805.1,GCA_001400635.1,GCA_000007805.1__GCA_001400635.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000007805.1,GCA_001400855.1,GCA_000007805.1__GCA_001400855.1,PASS,PASS,PASS,PASS
GCA_000007805.1,GCA_001400955.1,GCA_000007805.1__GCA_001400955.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000007805.1,GCA_001401135.1,GCA_000007805.1__GCA_001401135.1,PASS,PASS,PASS,PASS
GCA_000007805.1,GCA_001401175.1,GCA_000007805.1__GCA_001401175.1,PASS,FAIL_THRESHOLD,PASS,PASS
GCA_000007805.1,GCA_001401385.1,GCA_000007805.1__GCA_001401385.1,PASS,PASS,PASS,PASS
GCA_000007805.1,GCA_001401395.1,GCA_000007805.1__GCA_001401395.1,PASS,PASS,PASS,PASS
GCA_000007805.1,GCA_001401405.1,GCA_000007805.1__GCA_001401405.1,PASS,PASS,PASS,PASS
GCA_000007805.1,GCA_028993425.1,GCA_000007805.1__GCA_028993425.1,PASS,PASS,PASS,PASS
GCA_000007825.1,GCA_002014665.1,GCA_000007825.1__GCA_002014665.1,PASS,PASS,PASS,PASS
GCA_000007825.1,GCA_006094295.1,GCA_000007825.1__GCA_006094295.1,PASS,PASS,PASS,PASS
GCA_000007825.1,GCA_045287585.1,GCA_000007825.1__GCA_045287585.1,PASS,PASS,PASS,PASS
GCA_000007825.1,GCA_046524075.1,GCA_000007825.1__GCA_046524075.1,PASS,PASS,PASS,PASS
GCA_000007825.1,GCA_900445355.1,GCA_000007825.1__GCA_900445355.1,PASS,PASS,PASS,PASS
GCA_000007825.1,GCA_918184965.1,GCA_000007825.1__GCA_918184965.1,PASS,PASS,PASS,PASS
GCA_000007925.1,GCA_000011465.1,GCA_000007925.1__GCA_000011465.1,PASS,FAIL_INITIAL,FAIL_INITIAL,FAIL_THRESHOLD
GCA_000007985.2,GCA_030297095.1,GCA_000007985.2__GCA_030297095.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000008265.1,GCA_900176435.1,GCA_000008265.1__GCA_900176435.1,PASS,PASS,PASS,PASS
GCA_000008425.1,GCA_000011645.1,GCA_000008425.1__GCA_000011645.1,PASS,PASS,PASS,PASS
GCA_000008425.1,GCA_006094335.1,GCA_000008425.1__GCA_006094335.1,PASS,PASS,PASS,PASS
GCA_000008425.1,GCA_022630555.1,GCA_000008425.1__GCA_022630555.1,PASS,PASS,PASS,PASS
GCA_000008425.1,GCA_029857595.2,GCA_000008425.1__GCA_029857595.2,PASS,PASS,PASS,PASS
GCA_000008425.1,GCA_030501475.1,GCA_000008425.1__GCA_030501475.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000008425.1,GCA_034478925.1,GCA_000008425.1__GCA_034478925.1,PASS,PASS,PASS,PASS
GCA_000008425.1,GCA_053538495.1,GCA_000008425.1__GCA_053538495.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000008425.1,GCA_900637645.1,GCA_000008425.1__GCA_900637645.1,PASS,PASS,PASS,PASS
GCA_000008485.1,GCA_000586255.1,GCA_000008485.1__GCA_000586255.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000008485.1,GCA_000586315.1,GCA_000008485.1__GCA_000586315.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000008485.1,GCA_000586375.1,GCA_000008485.1__GCA_000586375.1,PASS,PASS,PASS,PASS
GCA_000008485.1,GCA_000614785.1,GCA_000008485.1__GCA_000614785.1,PASS,PASS,PASS,PASS
GCA_000008485.1,GCA_001582475.1,GCA_000008485.1__GCA_001582475.1,PASS,PASS,PASS,PASS
GCA_000008485.1,GCA_001600975.1,GCA_000008485.1__GCA_001600975.1,FAIL_INITIAL,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000008485.1,GCA_001941585.1,GCA_000008485.1__GCA_001941585.1,PASS,PASS,PASS,PASS
GCA_000008485.1,GCA_002082955.2,GCA_000008485.1__GCA_002082955.2,PASS,PASS,PASS,PASS
GCA_000008485.1,GCA_003003555.1,GCA_000008485.1__GCA_003003555.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000008485.1,GCA_006364635.1,GCA_000008485.1__GCA_006364635.1,PASS,PASS,PASS,PASS
GCA_000008485.1,GCA_022870105.1,GCA_000008485.1__GCA_022870105.1,PASS,PASS,PASS,PASS
GCA_000008485.1,GCA_052712945.1,GCA_000008485.1__GCA_052712945.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000008485.1,GCA_053755195.1,GCA_000008485.1__GCA_053755195.1,PASS,PASS,PASS,PASS
GCA_000008485.1,GCA_900452735.1,GCA_000008485.1__GCA_900452735.1,PASS,PASS,PASS,PASS
GCA_000008485.1,GCA_900637585.1,GCA_000008485.1__GCA_900637585.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000008485.1,GCA_900639965.1,GCA_000008485.1__GCA_900639965.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,FAIL_THRESHOLD
GCA_000008545.1,GCA_000230655.3,GCA_000008545.1__GCA_000230655.3,PASS,PASS,PASS,PASS
GCA_000008545.1,GCA_000390265.1,GCA_000008545.1__GCA_000390265.1,PASS,PASS,PASS,PASS
GCA_000008545.1,GCA_000978555.1,GCA_000008545.1__GCA_000978555.1,PASS,PASS,PASS,PASS
GCA_000008565.1,GCA_000685985.1,GCA_000008565.1__GCA_000685985.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000008565.1,GCA_001638825.1,GCA_000008565.1__GCA_001638825.1,PASS,PASS,PASS,PASS
GCA_000008565.1,GCA_020546685.1,GCA_000008565.1__GCA_020546685.1,PASS,PASS,PASS,PASS
GCA_000008565.1,GCA_020546705.1,GCA_000008565.1__GCA_020546705.1,PASS,PASS,PASS,PASS
GCA_000008565.1,GCA_045277105.1,GCA_000008565.1__GCA_045277105.1,PASS,PASS,PASS,PASS
GCA_000008565.1,GCA_965136095.1,GCA_000008565.1__GCA_965136095.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000008605.1,GCA_000410535.2,GCA_000008605.1__GCA_000410535.2,PASS,PASS,PASS,PASS
GCA_000008605.1,GCA_052161665.1,GCA_000008605.1__GCA_052161665.1,PASS,PASS,PASS,PASS
GCA_000008645.1,GCA_027554905.1,GCA_000008645.1__GCA_027554905.1,PASS,PASS,PASS,PASS
GCA_000008645.1,GCA_027555045.1,GCA_000008645.1__GCA_027555045.1,PASS,PASS,PASS,PASS
GCA_000008685.2,GCA_002083055.2,GCA_000008685.2__GCA_002083055.2,PASS,PASS,PASS,PASS
GCA_000008685.2,GCA_002151505.1,GCA_000008685.2__GCA_002151505.1,PASS,PASS,PASS,PASS
GCA_000008685.2,GCA_040790805.1,GCA_000008685.2__GCA_040790805.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_000155325.1,GCA_000009045.1__GCA_000155325.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_000186085.1,GCA_000009045.1__GCA_000186085.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_000344745.1,GCA_000009045.1__GCA_000344745.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_000696635.1,GCA_000009045.1__GCA_000696635.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000009045.1,GCA_000789275.1,GCA_000009045.1__GCA_000789275.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_001697265.1,GCA_000009045.1__GCA_001697265.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_002009095.1,GCA_000009045.1__GCA_002009095.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_002009135.1,GCA_000009045.1__GCA_002009135.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_002055965.1,GCA_000009045.1__GCA_002055965.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_006088795.1,GCA_000009045.1__GCA_006088795.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_006741845.1,GCA_000009045.1__GCA_006741845.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_012931705.2,GCA_000009045.1__GCA_012931705.2,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_013009385.1,GCA_000009045.1__GCA_013009385.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_014389245.2,GCA_000009045.1__GCA_014389245.2,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_024917115.1,GCA_000009045.1__GCA_024917115.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_029027845.1,GCA_000009045.1__GCA_029027845.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_029537415.2,GCA_000009045.1__GCA_029537415.2,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_031316525.1,GCA_000009045.1__GCA_031316525.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_032681245.1,GCA_000009045.1__GCA_032681245.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_037414465.1,GCA_000009045.1__GCA_037414465.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_037914925.1,GCA_000009045.1__GCA_037914925.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_900445475.1,GCA_000009045.1__GCA_900445475.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_964017255.1,GCA_000009045.1__GCA_964017255.1,PASS,PASS,PASS,PASS
GCA_000009045.1,GCA_965139425.1,GCA_000009045.1__GCA_965139425.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000009125.1,GCA_024925465.1,GCA_000009125.1__GCA_024925465.1,PASS,FAIL_THRESHOLD,PASS,PASS
GCA_000009125.1,GCA_919586305.1,GCA_000009125.1__GCA_919586305.1,PASS,FAIL_THRESHOLD,PASS,PASS
GCA_000009265.1,GCA_046118665.1,GCA_000009265.1__GCA_046118665.1,PASS,PASS,PASS,PASS
GCA_000009765.2,GCA_000764715.1,GCA_000009765.2__GCA_000764715.1,PASS,PASS,PASS,PASS
GCA_000009765.2,GCA_000968255.1,GCA_000009765.2__GCA_000968255.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000009765.2,GCA_001514135.1,GCA_000009765.2__GCA_001514135.1,PASS,PASS,PASS,PASS
GCA_000009765.2,GCA_005405965.1,GCA_000009765.2__GCA_005405965.1,PASS,PASS,PASS,PASS
GCA_000009765.2,GCA_005405985.1,GCA_000009765.2__GCA_005405985.1,PASS,PASS,PASS,PASS
GCA_000009765.2,GCA_029277425.1,GCA_000009765.2__GCA_029277425.1,PASS,PASS,PASS,PASS
GCA_000009765.2,GCA_039544815.1,GCA_000009765.2__GCA_039544815.1,PASS,PASS,PASS,PASS
GCA_000010005.1,GCA_000016825.1,GCA_000010005.1__GCA_000016825.1,PASS,PASS,PASS,PASS
GCA_000010005.1,GCA_000168255.1,GCA_000010005.1__GCA_000168255.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000010005.1,GCA_000179435.1,GCA_000010005.1__GCA_000179435.1,FAIL_INITIAL,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000010005.1,GCA_000179455.1,GCA_000010005.1__GCA_000179455.1,PASS,FAIL_THRESHOLD,PASS,PASS
GCA_000010005.1,GCA_000236455.2,GCA_000010005.1__GCA_000236455.2,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000010005.1,GCA_001434615.1,GCA_000010005.1__GCA_001434615.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000010005.1,GCA_020784875.1,GCA_000010005.1__GCA_020784875.1,PASS,FAIL_THRESHOLD,FAIL_THRESHOLD,PASS
GCA_000010005.1,GCA_020785115.1,GCA_000010005.1__GCA_020785115.1,FAIL_INITIAL,FAIL_THRESHOLD,PASS,PASS
GCA_000010005.1,GCA_036621895.1,GCA_000010005.1__GCA_036621895.1,PASS,FAIL_THRESHOLD,PASS,PASS
GCA_000010005.1,GCA_054729175.1,GCA_000010005.1__GCA_054729175.1,PASS,PASS,PASS,PASS
GCA_000010065.1,GCA_022984195.1,GCA_000010065.1__GCA_022984195.1,PASS,PASS,PASS,PASS
GCA_000010125.1,GCA_001997165.1,GCA_000010125.1__GCA_001997165.1,PASS,PASS,PASS,PASS
GCA_000010125.1,GCA_002902025.2,GCA_000010125.1__GCA_002902025.2,PASS,PASS,PASS,PASS
GCA_000010125.1,GCA_002902545.1,GCA_000010125.1__GCA_002902545.1,PASS,PASS,PASS,PASS
GCA_000010125.1,GCA_006094355.1,GCA_000010125.1__GCA_006094355.1,PASS,PASS,PASS,PASS
